NoFilter,,,,,,,,,
Unité : Nombre,,,,,,,,,
Source : Ministère de l'Intérieur,,,,,,,,,
"Evolution du nombre d'accident, du blessés et des tués",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,2013,2014,2015,2016,2017,2018,2019,2020,2021
Evolution du nombre d'accidents par gouvernorat et par mois,8878,7971,7225,7227,6972,5884,5972,4774,5082
Evolution du nombre des blessés par gouvernorat et par mois,13539,12354,10882,11035,10415,8876,8574,6762,6883
Evolution du nombre des tues par gouvernorat et par mois,1505,1565,1407,1443,1369,1205,1150,931,1014
